Episode 19800/100000 | Avg Score: 20818.24 | Success Rate: 0.46
Episode 19900/100000 | Avg Score: 22735.28 | Success Rate: 0.45
Episode 20000/100000 | Avg Score: 21158.04 | Success Rate: 0.41
Episode 20100/100000 | Avg Score: 23379.08 | Success Rate: 0.49
Episode 20200/100000 | Avg Score: 22877.48 | Success Rate: 0.48
Episode 20300/100000 | Avg Score: 21212.16 | Success Rate: 0.41
Episode 20400/100000 | Avg Score: 22488.92 | Success Rate: 0.48
Episode 20500/100000 | Avg Score: 21001.68 | Success Rate: 0.46
Episode 20600/100000 | Avg Score: 22775.80 | Success Rate: 0.50
Episode 20700/100000 | Avg Score: 21000.24 | Success Rate: 0.42
Episode 20800/100000 | Avg Score: 23531.88 | Success Rate: 0.54
Episode 20900/100000 | Avg Score: 22457.20 | Success Rate: 0.50
Episode 21000/100000 | Avg Score: 22321.60 | Success Rate: 0.50
Episode 21100/100000 | Avg Score: 24348.76 | Success Rate: 0.55
Episode 21200/100000 | Avg Score: 21944.04 | Success Rate: 0.44
Episode 21300/100000 | Avg Score: 22820.16 | Success Rate: 0.54
Episode 21400/100000 | Avg Score: 22842.80 | Success Rate: 0.42
Episode 21500/100000 | Avg Score: 22208.04 | Success Rate: 0.48
Episode 21600/100000 | Avg Score: 25353.92 | Success Rate: 0.58
Episode 21700/100000 | Avg Score: 23195.24 | Success Rate: 0.51
Episode 21800/100000 | Avg Score: 23257.68 | Success Rate: 0.50
Episode 21900/100000 | Avg Score: 21954.84 | Success Rate: 0.49
Episode 22000/100000 | Avg Score: 22961.64 | Success Rate: 0.50
Episode 22100/100000 | Avg Score: 21339.92 | Success Rate: 0.46
Episode 22200/100000 | Avg Score: 22649.80 | Success Rate: 0.47
Episode 22300/100000 | Avg Score: 22170.72 | Success Rate: 0.47
Episode 22400/100000 | Avg Score: 22655.12 | Success Rate: 0.50
Episode 22500/100000 | Avg Score: 23318.68 | Success Rate: 0.52
Episode 22600/100000 | Avg Score: 21784.04 | Success Rate: 0.46
Episode 22700/100000 | Avg Score: 22733.52 | Success Rate: 0.47
Episode 22800/100000 | Avg Score: 21749.24 | Success Rate: 0.48
Episode 22900/100000 | Avg Score: 23480.92 | Success Rate: 0.52
Episode 23000/100000 | Avg Score: 23778.96 | Success Rate: 0.53
Episode 23100/100000 | Avg Score: 21029.04 | Success Rate: 0.42
Episode 23200/100000 | Avg Score: 22009.08 | Success Rate: 0.49
Episode 23300/100000 | Avg Score: 22557.96 | Success Rate: 0.51
Episode 23400/100000 | Avg Score: 21598.12 | Success Rate: 0.46
Episode 23500/100000 | Avg Score: 24453.00 | Success Rate: 0.56
Episode 23600/100000 | Avg Score: 20600.60 | Success Rate: 0.39
Episode 23700/100000 | Avg Score: 22130.20 | Success Rate: 0.49
Episode 23800/100000 | Avg Score: 21950.76 | Success Rate: 0.45
Episode 23900/100000 | Avg Score: 22163.60 | Success Rate: 0.46
Episode 24000/100000 | Avg Score: 22740.32 | Success Rate: 0.50
Episode 24100/100000 | Avg Score: 22893.92 | Success Rate: 0.53
Episode 24200/100000 | Avg Score: 24280.40 | Success Rate: 0.54
Episode 24300/100000 | Avg Score: 21797.48 | Success Rate: 0.45
Episode 24400/100000 | Avg Score: 21908.04 | Success Rate: 0.45
Episode 24500/100000 | Avg Score: 23526.32 | Success Rate: 0.52
Episode 24600/100000 | Avg Score: 25175.76 | Success Rate: 0.60
Episode 24700/100000 | Avg Score: 24444.00 | Success Rate: 0.56
Episode 24800/100000 | Avg Score: 22307.56 | Success Rate: 0.49
Episode 24900/100000 | Avg Score: 23034.24 | Success Rate: 0.53
Episode 25000/100000 | Avg Score: 23412.64 | Success Rate: 0.50
Episode 25100/100000 | Avg Score: 26698.44 | Success Rate: 0.61
Episode 25200/100000 | Avg Score: 22279.16 | Success Rate: 0.45
Episode 25300/100000 | Avg Score: 19743.92 | Success Rate: 0.38
Episode 25400/100000 | Avg Score: 22117.52 | Success Rate: 0.42
Episode 25500/100000 | Avg Score: 22765.00 | Success Rate: 0.47
Episode 25600/100000 | Avg Score: 23781.72 | Success Rate: 0.55
Episode 25700/100000 | Avg Score: 21331.48 | Success Rate: 0.43
Episode 25800/100000 | Avg Score: 21660.28 | Success Rate: 0.43
Episode 25900/100000 | Avg Score: 22209.80 | Success Rate: 0.44
Episode 26000/100000 | Avg Score: 22093.44 | Success Rate: 0.51
Episode 26100/100000 | Avg Score: 21858.04 | Success Rate: 0.41
Episode 26200/100000 | Avg Score: 22436.04 | Success Rate: 0.48
Episode 26300/100000 | Avg Score: 22846.68 | Success Rate: 0.47
Episode 26400/100000 | Avg Score: 23360.08 | Success Rate: 0.54
Episode 26500/100000 | Avg Score: 23713.28 | Success Rate: 0.54
Episode 26600/100000 | Avg Score: 22588.56 | Success Rate: 0.48
Episode 26700/100000 | Avg Score: 23062.68 | Success Rate: 0.55
Episode 26800/100000 | Avg Score: 22937.80 | Success Rate: 0.52
Episode 26900/100000 | Avg Score: 23653.68 | Success Rate: 0.50
Episode 27000/100000 | Avg Score: 25317.52 | Success Rate: 0.58
Episode 27100/100000 | Avg Score: 23193.32 | Success Rate: 0.50
Episode 27200/100000 | Avg Score: 23945.00 | Success Rate: 0.52
Episode 27300/100000 | Avg Score: 23340.84 | Success Rate: 0.53
Episode 27400/100000 | Avg Score: 24215.32 | Success Rate: 0.54
Episode 27500/100000 | Avg Score: 22634.64 | Success Rate: 0.46
Episode 27600/100000 | Avg Score: 23737.52 | Success Rate: 0.56
Episode 27700/100000 | Avg Score: 22583.88 | Success Rate: 0.47
Episode 27800/100000 | Avg Score: 22680.44 | Success Rate: 0.48
Episode 27900/100000 | Avg Score: 24861.32 | Success Rate: 0.55
Episode 28000/100000 | Avg Score: 22348.12 | Success Rate: 0.47
Episode 28100/100000 | Avg Score: 25579.96 | Success Rate: 0.60
Episode 28200/100000 | Avg Score: 23629.64 | Success Rate: 0.50
Episode 28300/100000 | Avg Score: 23733.88 | Success Rate: 0.57
Episode 28400/100000 | Avg Score: 22162.32 | Success Rate: 0.48
Episode 28500/100000 | Avg Score: 22800.76 | Success Rate: 0.52
Episode 28600/100000 | Avg Score: 22444.32 | Success Rate: 0.49
Episode 28700/100000 | Avg Score: 23110.56 | Success Rate: 0.50
Episode 28800/100000 | Avg Score: 25122.16 | Success Rate: 0.56
Episode 28900/100000 | Avg Score: 23796.96 | Success Rate: 0.54
Episode 29000/100000 | Avg Score: 24109.00 | Success Rate: 0.53
Episode 29100/100000 | Avg Score: 23627.44 | Success Rate: 0.53
Episode 29200/100000 | Avg Score: 23587.04 | Success Rate: 0.51
Episode 29300/100000 | Avg Score: 24883.36 | Success Rate: 0.59
Episode 29400/100000 | Avg Score: 22223.04 | Success Rate: 0.47
Episode 29500/100000 | Avg Score: 24055.04 | Success Rate: 0.54
Episode 29600/100000 | Avg Score: 24756.52 | Success Rate: 0.54
Episode 29700/100000 | Avg Score: 24875.32 | Success Rate: 0.56
Episode 29800/100000 | Avg Score: 24164.36 | Success Rate: 0.49
Episode 29900/100000 | Avg Score: 23523.32 | Success Rate: 0.49
Episode 30000/100000 | Avg Score: 24467.44 | Success Rate: 0.53
Episode 30100/100000 | Avg Score: 21932.80 | Success Rate: 0.45
Episode 30200/100000 | Avg Score: 23056.12 | Success Rate: 0.51
Episode 30300/100000 | Avg Score: 23645.48 | Success Rate: 0.56
Episode 30400/100000 | Avg Score: 22326.64 | Success Rate: 0.52
Episode 30500/100000 | Avg Score: 24749.08 | Success Rate: 0.62
Episode 30600/100000 | Avg Score: 23993.84 | Success Rate: 0.54
Episode 30700/100000 | Avg Score: 23655.00 | Success Rate: 0.49
Episode 30800/100000 | Avg Score: 22445.76 | Success Rate: 0.50
Episode 30900/100000 | Avg Score: 23710.36 | Success Rate: 0.53
Episode 31000/100000 | Avg Score: 25472.40 | Success Rate: 0.58
Episode 31100/100000 | Avg Score: 23485.12 | Success Rate: 0.52
Episode 31200/100000 | Avg Score: 23583.84 | Success Rate: 0.45
Episode 31300/100000 | Avg Score: 24767.64 | Success Rate: 0.57
Episode 31400/100000 | Avg Score: 21235.56 | Success Rate: 0.43
Episode 31500/100000 | Avg Score: 23591.48 | Success Rate: 0.52
Episode 31600/100000 | Avg Score: 22820.96 | Success Rate: 0.51
Episode 31700/100000 | Avg Score: 24375.04 | Success Rate: 0.54
Episode 31800/100000 | Avg Score: 23777.88 | Success Rate: 0.50
Episode 31900/100000 | Avg Score: 23690.32 | Success Rate: 0.50
Episode 32000/100000 | Avg Score: 25199.96 | Success Rate: 0.63
Episode 32100/100000 | Avg Score: 24399.96 | Success Rate: 0.56
Episode 32200/100000 | Avg Score: 26239.56 | Success Rate: 0.59
Episode 32300/100000 | Avg Score: 25638.92 | Success Rate: 0.59
Episode 32400/100000 | Avg Score: 24239.32 | Success Rate: 0.52
Episode 32500/100000 | Avg Score: 24039.20 | Success Rate: 0.55
Episode 32600/100000 | Avg Score: 22963.16 | Success Rate: 0.49
Episode 32700/100000 | Avg Score: 23408.32 | Success Rate: 0.51
Episode 32800/100000 | Avg Score: 25093.20 | Success Rate: 0.60
