Episode 34700/100000 | Avg Score: 18110.60 | Success Rate: 0.25
Episode 34800/100000 | Avg Score: 19402.60 | Success Rate: 0.35
Episode 34900/100000 | Avg Score: 19856.76 | Success Rate: 0.39
Episode 35000/100000 | Avg Score: 20086.12 | Success Rate: 0.36
Episode 35100/100000 | Avg Score: 18463.12 | Success Rate: 0.33
Episode 35200/100000 | Avg Score: 18192.68 | Success Rate: 0.26
Episode 35300/100000 | Avg Score: 18455.36 | Success Rate: 0.34
Episode 35400/100000 | Avg Score: 18294.08 | Success Rate: 0.33
Episode 35500/100000 | Avg Score: 19940.92 | Success Rate: 0.32
Episode 35600/100000 | Avg Score: 18180.32 | Success Rate: 0.29
Episode 35700/100000 | Avg Score: 18493.68 | Success Rate: 0.28
Episode 35800/100000 | Avg Score: 20193.44 | Success Rate: 0.37
Episode 35900/100000 | Avg Score: 18766.28 | Success Rate: 0.27
Episode 36000/100000 | Avg Score: 20556.24 | Success Rate: 0.41
Episode 36100/100000 | Avg Score: 18742.28 | Success Rate: 0.27
Episode 36200/100000 | Avg Score: 17499.52 | Success Rate: 0.25
Episode 36300/100000 | Avg Score: 18978.48 | Success Rate: 0.34
Episode 36400/100000 | Avg Score: 17891.12 | Success Rate: 0.27
Episode 36500/100000 | Avg Score: 19424.72 | Success Rate: 0.35
Episode 36600/100000 | Avg Score: 19587.44 | Success Rate: 0.34
Episode 36700/100000 | Avg Score: 18126.20 | Success Rate: 0.26
Episode 36800/100000 | Avg Score: 19289.20 | Success Rate: 0.34
Episode 36900/100000 | Avg Score: 19645.04 | Success Rate: 0.35
Episode 37000/100000 | Avg Score: 19578.28 | Success Rate: 0.38
Episode 37100/100000 | Avg Score: 19024.64 | Success Rate: 0.29
Episode 37200/100000 | Avg Score: 20763.52 | Success Rate: 0.43
Episode 37300/100000 | Avg Score: 18187.48 | Success Rate: 0.28
Episode 37400/100000 | Avg Score: 17543.76 | Success Rate: 0.28
Episode 37500/100000 | Avg Score: 18635.44 | Success Rate: 0.33
Episode 37600/100000 | Avg Score: 18233.16 | Success Rate: 0.26
Episode 37700/100000 | Avg Score: 19095.68 | Success Rate: 0.35
Episode 37800/100000 | Avg Score: 19251.88 | Success Rate: 0.28
Episode 37900/100000 | Avg Score: 17734.52 | Success Rate: 0.30
Episode 38000/100000 | Avg Score: 19065.96 | Success Rate: 0.32
Episode 38100/100000 | Avg Score: 19201.04 | Success Rate: 0.34
Episode 38200/100000 | Avg Score: 17769.52 | Success Rate: 0.29
Episode 38300/100000 | Avg Score: 19421.40 | Success Rate: 0.34
Episode 38400/100000 | Avg Score: 19963.56 | Success Rate: 0.39
Episode 38500/100000 | Avg Score: 18632.96 | Success Rate: 0.30
Episode 38600/100000 | Avg Score: 19185.32 | Success Rate: 0.31
Episode 38700/100000 | Avg Score: 18580.96 | Success Rate: 0.29
Episode 38800/100000 | Avg Score: 18910.52 | Success Rate: 0.37
Episode 38900/100000 | Avg Score: 18206.84 | Success Rate: 0.31
Episode 39000/100000 | Avg Score: 17781.08 | Success Rate: 0.29
Episode 39100/100000 | Avg Score: 18405.28 | Success Rate: 0.27
Episode 39200/100000 | Avg Score: 19731.64 | Success Rate: 0.36
Episode 39300/100000 | Avg Score: 18108.64 | Success Rate: 0.28
Episode 39400/100000 | Avg Score: 19585.96 | Success Rate: 0.37
Episode 39500/100000 | Avg Score: 17786.72 | Success Rate: 0.28
Episode 39600/100000 | Avg Score: 18374.80 | Success Rate: 0.30
Episode 39700/100000 | Avg Score: 17723.56 | Success Rate: 0.25
Episode 39800/100000 | Avg Score: 17680.80 | Success Rate: 0.29
Episode 39900/100000 | Avg Score: 19078.96 | Success Rate: 0.32
Episode 40000/100000 | Avg Score: 19462.92 | Success Rate: 0.34
